H,K,L,Distance,2theta/TOF,Mult
-1,-1,1,4.5315,19.590136906625744,24
0,2,2,2.7749,32.26016013756611,12
-1,-3,-1,2.3665,38.023710314853865,24
2,-2,2,2.2657,39.785050010779486,24
0,4,0,1.9622,46.26833097967078,6
3,-1,3,1.8006,50.69993813063449,24
-2,2,4,1.6021,57.52675217677255,48
3,-3,-3,1.5105,61.377496249706944,24
4,0,4,1.3874,67.51210532506734,12
5,3,1,1.3267,71.05320351263342,48
0,6,2,1.241,76.8089083373404,24
5,-3,3,1.1969,80.19604833532446,48
-2,6,2,1.1832,81.31790595757555,48
4,4,4,1.1328,85.7723019459119,8
-1,7,1,1.099,89.09077718622869,48
