No.,H,K,L,Mult,2theta/,Ints/
1,-1,-1,1,24,19.50104875065112,400.11448961281855
2,0,2,2,12,32.110388138233425,211.9609259660436
3,-1,-3,-1,24,37.8460384923949,210.17890646322556
4,2,-2,2,24,39.597457875120966,28.672255601602057
5,0,4,0,6,46.04983416217933,16.56977339154606
6,3,-1,3,24,50.453947424814274,33.62198028788125
7,-2,2,4,48,57.2455185922474,160.03261700253236
8,3,-3,-3,24,61.07294363914323,50.79926869520923
9,4,0,4,12,67.16626258898802,44.328919744574996
10,5,3,1,48,70.68527016861181,24.258126491325555
11,0,6,2,24,76.40141470726186,33.7102881833799
12,5,-3,3,48,79.76336839663762,46.46095865158342
13,-2,6,2,48,80.87150678025608,6.651335288041017
14,4,4,4,8,85.28691619336092,3.851649219793135
15,-1,7,1,48,88.58107875750582,14.169406811436186
16,-4,-2,-6,48,94.07001938273044,43.866658982080075
17,7,1,-3,48,97.36997791999748,31.79178266035142
18,-8,0,0,6,102.93645135876686,8.808477720377953
19,3,7,-3,48,106.33161616628968,12.144995239236712
20,-8,-2,-2,24,112.14597082923764,20.592099318227334
21,1,5,7,48,115.72902371349176,31.332724572041695
22,2,6,6,24,116.9496356872267,2.005623983821833
23,8,0,4,24,121.98464507300191,11.038396032320547
